date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:11	33736/33736	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jun%202020%2004:48:17%20GMT	http://www.melangesimsr.com/	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/index.html	(from )
10:18:11	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-581368e20cc51%22	http://www.melangesimsr.com/robots.txt		(from )
10:18:12	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-581368d9fb5c9%22	http://www.melangesimsr.com/assets/melange2020/img/favicon.ico	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/img/favicon.ico	(from http://www.melangesimsr.com/)
10:18:12	23560/23560	---MCZ	200	added ('OK')	text/css	etag:W/%228080-59f3875b6deb7-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/style.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/style.css	(from http://www.melangesimsr.com/)
10:18:12	142043/142043	---M-Z	200	added ('OK')	text/css	etag:%2222adb-59bdfb738788e-gzip%22	http://www.melangesimsr.com/assets/melange2020/lib/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/lib/bootstrap/css/bootstrap.min.css	(from http://www.melangesimsr.com/)
10:18:13	16964/16964	---M-Z	200	added ('OK')	text/css	etag:%224244-581368dc9658d-gzip%22	http://www.melangesimsr.com/assets/melange2020/lib/animate/animate.min.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/lib/animate/animate.min.css	(from http://www.melangesimsr.com/)
10:18:13	18483/18483	---MCZ	200	added ('OK')	text/css	etag:W/%224ec5-581368dc984cd-gzip%22	http://www.melangesimsr.com/assets/melange2020/lib/venobox/venobox.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/lib/venobox/venobox.css	(from http://www.melangesimsr.com/)
10:18:13	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22b78-581368dc9464d-gzip%22	http://www.melangesimsr.com/assets/melange2020/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/lib/owlcarousel/assets/owl.carousel.min.css	(from http://www.melangesimsr.com/)
10:18:13	2608/2608	---MCZ	200	added ('OK')	text/css	etag:W/%22de5-59c7dc4f66e62-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/events/eventcategories.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/events/eventcategories.css	(from http://www.melangesimsr.com/)
10:18:13	2528/2528	---MCZ	200	added ('OK')	text/css	etag:W/%22cd7-59bf5c1a0e235-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/preloader/preloader.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/preloader/preloader.css	(from http://www.melangesimsr.com/)
10:18:14	2716/2716	---MCZ	200	added ('OK')	text/css	etag:W/%22cae-59c098a6ce646-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/countdown/countdown.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/countdown/countdown.css	(from http://www.melangesimsr.com/)
10:18:14	867/867	---MCZ	200	added ('OK')	text/css	etag:W/%22837-59c098b50cd60-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/countdown/countdown_responsive.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/countdown/countdown_responsive.css	(from http://www.melangesimsr.com/)
10:18:14	420/420	---MCZ	200	added ('OK')	text/css	etag:W/%221fc-59c098bb40b57-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/countdown/jquery.classycountdown.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/countdown/jquery.classycountdown.css	(from http://www.melangesimsr.com/)
10:18:14	650/650	---MCZ	200	added ('OK')	text/css	etag:W/%222d8-59deddb3f0155-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/theme/theme.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/theme/theme.css	(from http://www.melangesimsr.com/)
10:18:15	220/220	---MCZ	200	added ('OK')	text/css	etag:W/%22104-59ded1f176f19-gzip%22	http://www.melangesimsr.com/assets/melange2020/css/ourReach/ourReach.css	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/css/ourReach/ourReach.css	(from http://www.melangesimsr.com/)
10:18:15	4941/4941	---M--	200	added ('OK')	image/png	etag:%22134d-581368dbabf97%22	http://www.melangesimsr.com/assets/melange2020/img/logo.png	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/assets/melange2020/img/logo.png	(from http://www.melangesimsr.com/)
10:18:19	14263/14263	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jun%202020%2004:48:22%20GMT	http://www.melangesimsr.com/gallery	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/gallery.html	(from http://www.melangesimsr.com/)
10:18:21	38415/38415	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jun%202020%2004:48:24%20GMT	http://www.melangesimsr.com/allsponsors	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/allsponsors.html	(from http://www.melangesimsr.com/)
10:18:33	635540/635540	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jun%202020%2004:48:21%20GMT	http://www.melangesimsr.com/allspeakers	C:/My%20Web%20Sites/Melange/www.melangesimsr.com/allspeakers.html	(from http://www.melangesimsr.com/)
